commit	dimensions	target	outcome	rationale
711a42ab6f8c2a96fabd5a313fecef924ae3e589	2	x86-64	defer-measurement	Pins corpus and action revisions; no lowering or ABI change. Consider the oracle at the x86-64 codegen owner using native instructions and its selected ABI. No target run was collected and no RefC/C fallback is authorized.
711a42ab6f8c2a96fabd5a313fecef924ae3e589	2	switch1-tegra-x1	not-applicable	Pins corpus and action revisions; no lowering or ABI change. This is host CI wiring, not Switch deployment, platform ABI, buffers or synchronization. A64 codegen and Maxwell shaders retain their separate owners.
711a42ab6f8c2a96fabd5a313fecef924ae3e589	2	wasm	defer-measurement	Pins corpus and action revisions; no lowering or ABI change. The fixture contract is plausible, but no Wasm module/candidate run was collected. Keep typed-stack, structured-control and linear-memory validation separate from ARM ABI.
711a42ab6f8c2a96fabd5a313fecef924ae3e589	2	webgpu	not-applicable	Pins corpus and action revisions; no lowering or ABI change. CPU/host gate wiring does not establish WGSL/shader acceptance. Shader policy #21/#23 remains separate from the WebGPU runtime overlay.
711a42ab6f8c2a96fabd5a313fecef924ae3e589	2	apple-cpu-atlas	not-applicable	Pins corpus and action revisions; no lowering or ABI change. No Apple ISA, ABI or SoC atlas facts change. Modern arm64 and Intel profiles continue to reuse their respective codegen owners; Metal is separate.
711a42ab6f8c2a96fabd5a313fecef924ae3e589	2	bigiron-a64-catalog	not-applicable	Pins corpus and action revisions; no lowering or ABI change. No A64/SVE/SME inventory fact changes. This catalog is not a second instruction selector or evidence of emitted/tested support.
711a42ab6f8c2a96fabd5a313fecef924ae3e589	2	bigiron-x86-catalog	not-applicable	Pins corpus and action revisions; no lowering or ABI change. No LLVM-derived cross-vendor inventory fact changes. Backend-facing XED inventory and codegen remain with idric-x86-aggressive-backend.
711a42ab6f8c2a96fabd5a313fecef924ae3e589	2	bigiron-power	not-applicable	Pins corpus and action revisions; no lowering or ABI change. No POWER inventory fact changes. Host corpus checks do not satisfy the separate executable POWER gate or select a POWER ABI.
711a42ab6f8c2a96fabd5a313fecef924ae3e589	2	bigiron-s390x	not-applicable	Pins corpus and action revisions; no lowering or ABI change. No s390x inventory fact changes. Host corpus checks do not satisfy the separate executable s390x gate.
711a42ab6f8c2a96fabd5a313fecef924ae3e589	2	atmega	not-applicable	Pins corpus and action revisions; no lowering or ABI change. No AVR inventory or selected device profile changes; host gate wiring does not create an emission surface.
711a42ab6f8c2a96fabd5a313fecef924ae3e589	2	attiny	not-applicable	Pins corpus and action revisions; no lowering or ABI change. No reduced-core AVR inventory facts change, and the gate supplies no ATtiny execution evidence.
711a42ab6f8c2a96fabd5a313fecef924ae3e589	2	ch552	not-applicable	Pins corpus and action revisions; no lowering or ABI change. No 8051/CH55x inventory or ABI facts change. Host workflow wiring must not impose ARM shapes.
711a42ab6f8c2a96fabd5a313fecef924ae3e589	2	msp430	not-applicable	Pins corpus and action revisions; no lowering or ABI change. No MSP430 widths, registers, flags, addressing or ABI facts change. The inventory remains distinct from executable acceptance.
711a42ab6f8c2a96fabd5a313fecef924ae3e589	2	game-boy	not-applicable	Pins corpus and action revisions; no lowering or ABI change. No Game Boy architecture facts change. An optional biology workload is not activation of this construction target.
711a42ab6f8c2a96fabd5a313fecef924ae3e589	2	esp-unresolved	defer-measurement	Pins corpus and action revisions; no lowering or ABI change. The exact Xtensa or RISC-V device/profile remains unresolved in this policy. No target propagation is authorized by a host corpus gate.
711a42ab6f8c2a96fabd5a313fecef924ae3e589	2	rp4080-invalid	defer-measurement	Pins corpus and action revisions; no lowering or ABI change. This policy still has no concrete real device or separated programmable ISAs for the name. No implementation is authorized.
711a42ab6f8c2a96fabd5a313fecef924ae3e589	2	automotive-rh850	defer-measurement	Pins corpus and action revisions; no lowering or ABI change. Observation-only: record the possible test seam, but no RH850 public-toolchain/target-oracle receipt was collected. Do not activate codegen.
711a42ab6f8c2a96fabd5a313fecef924ae3e589	2	automotive-e200	defer-measurement	Pins corpus and action revisions; no lowering or ABI change. Observation-only: no e200 execution evidence was collected. Keep embedded VLE/SPE/ABI separate from server POWER and do not activate codegen.
711a42ab6f8c2a96fabd5a313fecef924ae3e589	2	automotive-tricore	not-applicable	Pins corpus and action revisions; no lowering or ABI change. No TC1.8 reference fact changes. Host corpus checks are not the required public reproducible TriCore execution gate.
3791b38eba892d2f98548b0cc843e97fe0796940	2	arm-thumb	already-covered	Merges that gate onto main; no additional CPU lowering appears in the merge diff. The source workflow contains this change. An optional or absent candidate does not establish emitted/tested ARM support.
3791b38eba892d2f98548b0cc843e97fe0796940	2	s32k3-cortex-m7	defer-measurement	Merges that gate onto main; no additional CPU lowering appears in the merge diff. Observation-only: the shared test contract is a possible future fixture, but this review collected no M-profile/ABI execution evidence and activates no automotive work.
3791b38eba892d2f98548b0cc843e97fe0796940	2	rp2040-cortex-m0plus	not-applicable	Merges that gate onto main; no additional CPU lowering appears in the merge diff. Workflow wiring does not change the Armv6-M inventory. No Thumb-2/VFP assumptions or PIO compiler work transfer.
3791b38eba892d2f98548b0cc843e97fe0796940	2	riscv-rv64i-hosted	defer-measurement	Merges that gate onto main; no additional CPU lowering appears in the merge diff. The shared branch/search oracle may be reusable; no RISC-V candidate run was collected. Preserve RV64I/LP64/ELF64 as one hosted lane, not generic RV32 or shared IR.
3791b38eba892d2f98548b0cc843e97fe0796940	2	a64-generic	defer-measurement	Merges that gate onto main; no additional CPU lowering appears in the merge diff. Consider the oracle at the designated A64 codegen owner; this review supplies no A64 execution evidence or ABI choice, and starts no second selector.
3791b38eba892d2f98548b0cc843e97fe0796940	2	x86-64	defer-measurement	Merges that gate onto main; no additional CPU lowering appears in the merge diff. Consider the oracle at the x86-64 codegen owner using native instructions and its selected ABI. No target run was collected and no RefC/C fallback is authorized.
3791b38eba892d2f98548b0cc843e97fe0796940	2	switch1-tegra-x1	not-applicable	Merges that gate onto main; no additional CPU lowering appears in the merge diff. This is host CI wiring, not Switch deployment, platform ABI, buffers or synchronization. A64 codegen and Maxwell shaders retain their separate owners.
3791b38eba892d2f98548b0cc843e97fe0796940	2	wasm	defer-measurement	Merges that gate onto main; no additional CPU lowering appears in the merge diff. The fixture contract is plausible, but no Wasm module/candidate run was collected. Keep typed-stack, structured-control and linear-memory validation separate from ARM ABI.
3791b38eba892d2f98548b0cc843e97fe0796940	2	webgpu	not-applicable	Merges that gate onto main; no additional CPU lowering appears in the merge diff. CPU/host gate wiring does not establish WGSL/shader acceptance. Shader policy #21/#23 remains separate from the WebGPU runtime overlay.
3791b38eba892d2f98548b0cc843e97fe0796940	2	apple-cpu-atlas	not-applicable	Merges that gate onto main; no additional CPU lowering appears in the merge diff. No Apple ISA, ABI or SoC atlas facts change. Modern arm64 and Intel profiles continue to reuse their respective codegen owners; Metal is separate.
3791b38eba892d2f98548b0cc843e97fe0796940	2	bigiron-a64-catalog	not-applicable	Merges that gate onto main; no additional CPU lowering appears in the merge diff. No A64/SVE/SME inventory fact changes. This catalog is not a second instruction selector or evidence of emitted/tested support.
3791b38eba892d2f98548b0cc843e97fe0796940	2	bigiron-x86-catalog	not-applicable	Merges that gate onto main; no additional CPU lowering appears in the merge diff. No LLVM-derived cross-vendor inventory fact changes. Backend-facing XED inventory and codegen remain with idric-x86-aggressive-backend.
3791b38eba892d2f98548b0cc843e97fe0796940	2	bigiron-power	not-applicable	Merges that gate onto main; no additional CPU lowering appears in the merge diff. No POWER inventory fact changes. Host corpus checks do not satisfy the separate executable POWER gate or select a POWER ABI.
3791b38eba892d2f98548b0cc843e97fe0796940	2	bigiron-s390x	not-applicable	Merges that gate onto main; no additional CPU lowering appears in the merge diff. No s390x inventory fact changes. Host corpus checks do not satisfy the separate executable s390x gate.
3791b38eba892d2f98548b0cc843e97fe0796940	2	atmega	not-applicable	Merges that gate onto main; no additional CPU lowering appears in the merge diff. No AVR inventory or selected device profile changes; host gate wiring does not create an emission surface.
3791b38eba892d2f98548b0cc843e97fe0796940	2	attiny	not-applicable	Merges that gate onto main; no additional CPU lowering appears in the merge diff. No reduced-core AVR inventory facts change, and the gate supplies no ATtiny execution evidence.
3791b38eba892d2f98548b0cc843e97fe0796940	2	ch552	not-applicable	Merges that gate onto main; no additional CPU lowering appears in the merge diff. No 8051/CH55x inventory or ABI facts change. Host workflow wiring must not impose ARM shapes.
3791b38eba892d2f98548b0cc843e97fe0796940	2	msp430	not-applicable	Merges that gate onto main; no additional CPU lowering appears in the merge diff. No MSP430 widths, registers, flags, addressing or ABI facts change. The inventory remains distinct from executable acceptance.
3791b38eba892d2f98548b0cc843e97fe0796940	2	game-boy	not-applicable	Merges that gate onto main; no additional CPU lowering appears in the merge diff. No Game Boy architecture facts change. An optional biology workload is not activation of this construction target.
3791b38eba892d2f98548b0cc843e97fe0796940	2	esp-unresolved	defer-measurement	Merges that gate onto main; no additional CPU lowering appears in the merge diff. The exact Xtensa or RISC-V device/profile remains unresolved in this policy. No target propagation is authorized by a host corpus gate.
3791b38eba892d2f98548b0cc843e97fe0796940	2	rp4080-invalid	defer-measurement	Merges that gate onto main; no additional CPU lowering appears in the merge diff. This policy still has no concrete real device or separated programmable ISAs for the name. No implementation is authorized.
3791b38eba892d2f98548b0cc843e97fe0796940	2	automotive-rh850	defer-measurement	Merges that gate onto main; no additional CPU lowering appears in the merge diff. Observation-only: record the possible test seam, but no RH850 public-toolchain/target-oracle receipt was collected. Do not activate codegen.
3791b38eba892d2f98548b0cc843e97fe0796940	2	automotive-e200	defer-measurement	Merges that gate onto main; no additional CPU lowering appears in the merge diff. Observation-only: no e200 execution evidence was collected. Keep embedded VLE/SPE/ABI separate from server POWER and do not activate codegen.
3791b38eba892d2f98548b0cc843e97fe0796940	2	automotive-tricore	not-applicable	Merges that gate onto main; no additional CPU lowering appears in the merge diff. No TC1.8 reference fact changes. Host corpus checks are not the required public reproducible TriCore execution gate.
